Image URL,Description
//kolesa.kz/static/frontend/images/kolesa-logo-new.svg,Колеса
https://kolesa-photos.kcdn.online/webp/64/64e1fcc2-b10d-4831-b803-9d867468468d/3-120x90.jpg,Hyundai Creta 2019 года за 9 200 000 тг. в Шымкент
https://kolesa-photos.kcdn.online/webp/64/64e1fcc2-b10d-4831-b803-9d867468468d/3-200x150.jpg,Hyundai Creta 2019 года за 9 200 000 тг. в Шымкент
https://kolesa-photos.kcdn.online/webp/03/0374c021-c7b4-49d3-a7c4-9c447347336f/1-120x90.jpg,Volkswagen Teramont 2018 года за 17 000 000 тг. в Атырау
https://kolesa-photos.kcdn.online/webp/03/0374c021-c7b4-49d3-a7c4-9c447347336f/1-200x150.jpg,Volkswagen Teramont 2018 года за 17 000 000 тг. в Атырау
https://kolesa-photos.kcdn.online/webp/b3/b37e736c-6dc8-44fd-8c17-9d86b512ff5d/1-120x90.jpg,ВАЗ (Lada) 2115 2007 года за 1 200 000 тг. в Комсомольское
https://kolesa-photos.kcdn.online/webp/b3/b37e736c-6dc8-44fd-8c17-9d86b512ff5d/1-200x150.jpg,ВАЗ (Lada) 2115 2007 года за 1 200 000 тг. в Комсомольское
https://kolesa-photos.kcdn.online/webp/5f/5f22d9df-c3fc-4a33-9b00-99f516cdda08/1-120x90.jpg,ГАЗ Соболь 27527 2024 года за 10 842 000 тг. в Атырау
https://kolesa-photos.kcdn.online/webp/5f/5f22d9df-c3fc-4a33-9b00-99f516cdda08/1-200x150.jpg,ГАЗ Соболь 27527 2024 года за 10 842 000 тг. в Атырау
https://kolesa-photos.kcdn.online/webp/e6/e67582bd-6c3c-4068-b143-9ccf2b8a58cf/1-120x90.jpg,BYD Yuan Up 2024 года за 9 700 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/e6/e67582bd-6c3c-4068-b143-9ccf2b8a58cf/1-200x150.jpg,BYD Yuan Up 2024 года за 9 700 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/dd/dd83b2f2-87ef-4861-a8ea-9d82215e3969/1-120x90.jpg,Chevrolet Cobalt 2022 года за 5 490 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/dd/dd83b2f2-87ef-4861-a8ea-9d82215e3969/1-200x150.jpg,Chevrolet Cobalt 2022 года за 5 490 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/7f/7f8e37b4-0378-4e3d-8b11-9d6abc2d7a16/1-120x90.jpg,Hyundai Sonata 2023 года за 12 510 000 тг. в Шымкент
https://kolesa-photos.kcdn.online/webp/7f/7f8e37b4-0378-4e3d-8b11-9d6abc2d7a16/1-200x150.jpg,Hyundai Sonata 2023 года за 12 510 000 тг. в Шымкент
https://kolesa-photos.kcdn.online/webp/eb/eb527f4b-1972-4b8f-8a9d-98bb372d466a/37-120x90.jpg,Zeekr 009 WE 2024 года за 30 200 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/eb/eb527f4b-1972-4b8f-8a9d-98bb372d466a/37-200x150.jpg,Zeekr 009 WE 2024 года за 30 200 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/2f/2fe7c9ec-14da-468b-b0a7-9d854fad50eb/1-120x90.jpg,Chevrolet Captiva 2013 года за 7 700 000 тг. в Шымкент
https://kolesa-photos.kcdn.online/webp/2f/2fe7c9ec-14da-468b-b0a7-9d854fad50eb/1-200x150.jpg,Chevrolet Captiva 2013 года за 7 700 000 тг. в Шымкент
https://kolesa-photos.kcdn.online/webp/a0/a0adbcc7-8b8e-43a0-a934-9bd42114651c/8-120x90.jpg,Allur -официальный Дилер Skoda в Алматы
https://kolesa-photos.kcdn.online/webp/a0/a0adbcc7-8b8e-43a0-a934-9bd42114651c/8-200x150.jpg,Allur -официальный Дилер Skoda в Алматы
https://kolesa-photos.kcdn.online/webp/53/53fe3aa0-1cad-4fa5-9f91-9d86b08936de/2-120x90.jpg,Mercedes-Benz E 320 1999 года за 4 400 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/53/53fe3aa0-1cad-4fa5-9f91-9d86b08936de/2-200x150.jpg,Mercedes-Benz E 320 1999 года за 4 400 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/fb/fbd39852-04db-4d64-b8f3-9bad781f906f/2-120x90.jpg,Doscar — официальный дилер Chevrolet в Шымкент
https://kolesa-photos.kcdn.online/webp/fb/fbd39852-04db-4d64-b8f3-9bad781f906f/2-200x150.jpg,Doscar — официальный дилер Chevrolet в Шымкент
https://kolesa-photos.kcdn.online/webp/e8/e8a989da-2533-4a08-85ec-9d851b02e8fb/4-120x90.jpg,Lexus NX 350 2022 года за 23 500 000 тг. в Шымкент
https://kolesa-photos.kcdn.online/webp/e8/e8a989da-2533-4a08-85ec-9d851b02e8fb/4-200x150.jpg,Lexus NX 350 2022 года за 23 500 000 тг. в Шымкент
https://kolesa-photos.kcdn.online/webp/c2/c2f0e395-7c08-43f0-a424-9d86b308f502/2-120x90.jpg,Toyota Camry 2007 года за 5 850 000 тг. в Кокшетау
https://kolesa-photos.kcdn.online/webp/c2/c2f0e395-7c08-43f0-a424-9d86b308f502/2-200x150.jpg,Toyota Camry 2007 года за 5 850 000 тг. в Кокшетау
https://kolesa-photos.kcdn.online/webp/3e/3eda3c00-4585-421a-ae6b-9d7e677ecdc9/1-120x90.jpg,Hyundai Elantra 2019 года за 8 000 000 тг. в Астана
https://kolesa-photos.kcdn.online/webp/3e/3eda3c00-4585-421a-ae6b-9d7e677ecdc9/1-200x150.jpg,Hyundai Elantra 2019 года за 8 000 000 тг. в Астана
https://kolesa-photos.kcdn.online/webp/c3/c39bc4e4-2a0f-40bc-b78e-9b757a6f9385/40-120x90.jpg,Zeekr X Premium 2023 года за 13 990 000 тг. в Талдыкорган
https://kolesa-photos.kcdn.online/webp/c3/c39bc4e4-2a0f-40bc-b78e-9b757a6f9385/40-200x150.jpg,Zeekr X Premium 2023 года за 13 990 000 тг. в Талдыкорган
https://kolesa-photos.kcdn.online/webp/89/89d48207-5967-4dfe-b633-9d7ae9fd2ec6/1-120x90.jpg,ВАЗ (Lada) 2114 2012 года за 1 800 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/89/89d48207-5967-4dfe-b633-9d7ae9fd2ec6/1-200x150.jpg,ВАЗ (Lada) 2114 2012 года за 1 800 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/ca/ca6d28ab-b0a8-4a51-9ec8-9b590ab2f99f/16-120x90.jpg,Li L7 2024 года за 23 700 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/ca/ca6d28ab-b0a8-4a51-9ec8-9b590ab2f99f/16-200x150.jpg,Li L7 2024 года за 23 700 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/1c/1c564e77-bb31-449f-a054-9d7a97053f8c/1-120x90.jpg,Chevrolet Onix 2024 года за 8 490 000 тг. в Астана
https://kolesa-photos.kcdn.online/webp/1c/1c564e77-bb31-449f-a054-9d7a97053f8c/1-200x150.jpg,Chevrolet Onix 2024 года за 8 490 000 тг. в Астана
https://kolesa-photos.kcdn.online/webp/17/1785d3f0-ff2c-4148-9548-9d82b8ea7a03/2-120x90.jpg,Daewoo Nexia 2012 года за 1 450 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/17/1785d3f0-ff2c-4148-9548-9d82b8ea7a03/2-200x150.jpg,Daewoo Nexia 2012 года за 1 450 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/61/61121fbf-8a76-446c-b710-9d6a87799276/1-120x90.jpg,Kia K3 2021 года за 9 230 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/61/61121fbf-8a76-446c-b710-9d6a87799276/1-200x150.jpg,Kia K3 2021 года за 9 230 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/83/83ef41f4-0c66-47ed-ba2a-9d28524a801d/1-120x90.jpg,Chevrolet Nexia 2022 года за 4 510 000 тг. в Шымкент
https://kolesa-photos.kcdn.online/webp/83/83ef41f4-0c66-47ed-ba2a-9d28524a801d/1-200x150.jpg,Chevrolet Nexia 2022 года за 4 510 000 тг. в Шымкент
https://kolesa-photos.kcdn.online/webp/27/27cbf4ae-8a6c-4399-8b99-9d7a6f8974cb/9-120x90.jpg,Chevrolet Cobalt Elegant AT 2024 года за 7 990 000 тг. в Павлодар
https://kolesa-photos.kcdn.online/webp/27/27cbf4ae-8a6c-4399-8b99-9d7a6f8974cb/9-200x150.jpg,Chevrolet Cobalt Elegant AT 2024 года за 7 990 000 тг. в Павлодар
https://kolesa-photos.kcdn.online/webp/be/be667349-86aa-4f63-a728-983496b738f1/1-120x90.jpg,Kia Cee'd 2023 года за 11 790 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/be/be667349-86aa-4f63-a728-983496b738f1/1-200x150.jpg,Kia Cee'd 2023 года за 11 790 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/94/94239cc0-d174-4e99-b419-9d7e98537a85/4-120x90.jpg,Volkswagen Golf 1994 года за 3 100 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/94/94239cc0-d174-4e99-b419-9d7e98537a85/4-200x150.jpg,Volkswagen Golf 1994 года за 3 100 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/77/777f8e49-31c2-4a4f-8595-9d7a9f2fd24a/2-120x90.jpg,BRP  Ski-Doo Summit 850 2021 года за 9 800 000 тг. в Риддер
https://kolesa-photos.kcdn.online/webp/77/777f8e49-31c2-4a4f-8595-9d7a9f2fd24a/2-200x150.jpg,BRP  Ski-Doo Summit 850 2021 года за 9 800 000 тг. в Риддер
https://kolesa-photos.kcdn.online/webp/bd/bd2999e3-1a66-44c2-99dd-9d6aaf37bf0d/2-120x90.jpg,Mercedes-Benz S 320 1997 года за 3 200 000 тг. в Есик
https://kolesa-photos.kcdn.online/webp/bd/bd2999e3-1a66-44c2-99dd-9d6aaf37bf0d/2-200x150.jpg,Mercedes-Benz S 320 1997 года за 3 200 000 тг. в Есик
//kolesa.kz/static/frontend/images/promo/app/qr.svg,Kolesa QR
//kolesa.kz/static/frontend/images/promo/app/ru/phone.png?2,Мобильное приложение Kolesa
https://kolesa-photos.kcdn.online/webp/33/335f88a9-18cb-4190-aea4-98ed93348cf2/1-120x90.jpg,Двигатель Accent 1.6 G4FC за 445 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/33/335f88a9-18cb-4190-aea4-98ed93348cf2/1-200x150.jpg,Двигатель Accent 1.6 G4FC за 445 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/5a/5a8d5601-293b-4a60-b3b6-995e3a8a095e/1-120x90.jpg,Двигатель Accent за 455 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/5a/5a8d5601-293b-4a60-b3b6-995e3a8a095e/1-200x150.jpg,Двигатель Accent за 455 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/1f/1f00c68f-1a9f-40c2-9ddf-995e37ea39f1/2-120x90.jpg,Двигатель Accent за 450 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/1f/1f00c68f-1a9f-40c2-9ddf-995e37ea39f1/2-200x150.jpg,Двигатель Accent за 450 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/9b/9b6a7526-61bb-441f-908b-9d86b6696bb6/1-120x90.jpg,Рейлинги за 100 000 тг. в Караганда
https://kolesa-photos.kcdn.online/webp/9b/9b6a7526-61bb-441f-908b-9d86b6696bb6/1-200x150.jpg,Рейлинги за 100 000 тг. в Караганда
https://kolesa-photos.kcdn.online/webp/d9/d9a03931-1570-4fe8-bd92-3e5825708c3b/4-120x90.jpg,Восстановления полированного алюминия в Алматы
https://kolesa-photos.kcdn.online/webp/d9/d9a03931-1570-4fe8-bd92-3e5825708c3b/4-200x150.jpg,Восстановления полированного алюминия в Алматы
https://kolesa-photos.kcdn.online/webp/ed/ed4609ab-eaeb-4d62-9917-7c0394e773d6/3-120x90.jpg,Восстановления полированного алюминия в Алматы
https://kolesa-photos.kcdn.online/webp/ed/ed4609ab-eaeb-4d62-9917-7c0394e773d6/3-200x150.jpg,Восстановления полированного алюминия в Алматы
https://kolesa-photos.kcdn.online/webp/e2/e237c303-0b8a-4271-973b-63fe48811716/1-120x90.jpg,Антикор антикоррозийная обработка в Алматы
https://kolesa-photos.kcdn.online/webp/e2/e237c303-0b8a-4271-973b-63fe48811716/1-200x150.jpg,Антикор антикоррозийная обработка в Алматы
https://kolesa-photos.kcdn.online/webp/1a/1a36f295-4152-4944-896d-a792a33fd2cb/1-120x90.jpg,Антикоррозийная обработка автомобиля в Алматы
https://kolesa-photos.kcdn.online/webp/1a/1a36f295-4152-4944-896d-a792a33fd2cb/1-200x150.jpg,Антикоррозийная обработка автомобиля в Алматы
https://kolesa-photos.kcdn.online/webp/4a/4a68aca0-5d59-4dad-ac21-9d86b47f17ce/14-120x90.jpg,Shanmon  388T (3в1) Экскаватор-Погрузчик: трансмиссия и мосты Carraro 2024 года за 24 500 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/4a/4a68aca0-5d59-4dad-ac21-9d86b47f17ce/14-200x150.jpg,Shanmon  388T (3в1) Экскаватор-Погрузчик: трансмиссия и мосты Carraro 2024 года за 24 500 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/c1/c113fa51-64b6-4100-bcad-9b471c9c04d0/2-120x90.jpg,Shantui  L55-B5 2023 года в Астана
https://kolesa-photos.kcdn.online/webp/c1/c113fa51-64b6-4100-bcad-9b471c9c04d0/2-200x150.jpg,Shantui  L55-B5 2023 года в Астана
https://kolesa-photos.kcdn.online/webp/71/718fca8e-297b-4437-a867-98161d44fa19/1-120x90.jpg,Howo 2024 года в Алматы
https://kolesa-photos.kcdn.online/webp/71/718fca8e-297b-4437-a867-98161d44fa19/1-200x150.jpg,Howo 2024 года в Алматы
https://kolesa-photos.kcdn.online/webp/3c/3cdb6bc0-da29-4e55-b34c-98f952e20d16/1-120x90.jpg,Sitrak  C7H 2024 года в Алматы
https://kolesa-photos.kcdn.online/webp/3c/3cdb6bc0-da29-4e55-b34c-98f952e20d16/1-200x150.jpg,Sitrak  C7H 2024 года в Алматы
//kolesa.kz/static/frontend/images/kolesa-logo-new.svg,kolesa.kz
//kolesa.kz/static/frontend/images/social/instagram.svg,kolesa.kz в Instagram
//kolesa.kz/static/frontend/images/social/youtube.svg,kolesa.kz в YouTube
//kolesa.kz/static/frontend/images/social/telegram.svg,kolesa.kz в Telegram
//kolesa.kz/static/frontend/images/social/tiktok.svg,kolesa.kz в TikTok
//kolesa.kz/static/frontend/images/social/vk.svg,kolesa.kz в VK
//kolesa.kz/static/frontend/images/social/facebook.svg,kolesa.kz в Facebook
https://mc.yandex.ru/watch/10095472?ut=noindex,
